№;Дата вылета;Номер рейса;Аэропорт вылета;Аэропорт прилета;Время вылета;Время прилета;Емкость кабины;LF Кабина;Бронирования по кабинам;Тип ВС;Код кабины;Доход пасс;Пассажиры
1674-Y;2025-03-24;225;SYX;SVO;04:50;10:35;264;0,4848;128;359;Y;34062,43;130
1675-C;2025-03-24;233;DEL;SVO;05:50;10:10;28;0,6071;17;333;C;10157,97;17
1675-Y;2025-03-24;233;DEL;SVO;05:50;10:10;268;0,8769;235;333;Y;42449,39;241
1676-C;2025-03-24;275;HKT;SVO;12:10;18:25;30;0,7333;22;77W;C;18274,54;22
1676-W;2025-03-24;275;HKT;SVO;12:10;18:25;48;0,4792;23;77W;W;10795,94;23
1676-Y;2025-03-24;275;HKT;SVO;12:10;18:25;324;0,642;208;77W;Y;59470,87;209
1677-C;2025-03-24;321;MLE;SVO;11:00;18:00;28;0,8929;25;77W;C;20226,92;26
1677-W;2025-03-24;321;MLE;SVO;11:00;18:00;24;1,25;30;77W;W;17584,07;30
1677-Y;2025-03-24;321;MLE;SVO;11:00;18:00;375;0,6587;247;77W;Y;54347,52;250
1678-C;2025-03-24;427;SSH;SVO;15:45;22:35;30;0,6;18;77W;C;5475,75;18
1678-W;2025-03-24;427;SSH;SVO;15:45;22:35;48;0,0833;4;77W;W;1031,46;4
1678-Y;2025-03-24;427;SSH;SVO;15:45;22:35;324;0,213;69;77W;Y;10166,17;69
1679-C;2025-03-24;521;DXB;SVO;16:35;21:25;30;0,6;18;77W;C;9072,47;18
1679-W;2025-03-24;521;DXB;SVO;16:35;21:25;48;0,75;36;77W;W;13759,25;36
1679-Y;2025-03-24;521;DXB;SVO;16:35;21:25;324;0,5031;163;77W;Y;25090,41;165
1680-C;2025-03-24;526;SVO;DXB;11:15;18:00;28;0,6429;18;333;C;14104,03;18
1680-Y;2025-03-24;526;SVO;DXB;11:15;18:00;268;0,4104;110;333;Y;15998,36;110
1681-C;2025-03-24;1009;KGD;SVO;06:10;09:50;16;0,75;12;32B;C;1872,78;12
1681-Y;2025-03-24;1009;KGD;SVO;06:10;09:50;167;1,006;168;32B;Y;7110,48;171
1682-C;2025-03-24;1018;SVO;KGD;11:20;13:00;12;0,75;9;32Q;C;1584,46;10
1682-W;2025-03-24;1018;SVO;KGD;11:20;13:00;30;0,9667;29;32Q;W;2484,29;29
1682-Y;2025-03-24;1018;SVO;KGD;11:20;13:00;154;0,961;148;32Q;Y;5661,3;151
1683-C;2025-03-24;1054;SVO;MCX;10:35;13:40;12;0,0833;1;32N;C;17,37;1
1683-Y;2025-03-24;1054;SVO;MCX;10:35;13:40;144;1,0417;150;32N;Y;10617,04;151
1684-Y;2025-03-24;1055;MCX;SVO;14:40;17:45;144;0,4931;71;32N;Y;2610,17;71
1685-C;2025-03-24;1129;AER;SVO;06:05;09:40;8;1,0;8;32A;C;2045,65;8
1685-Y;2025-03-24;1129;AER;SVO;06:05;09:40;150;0,9267;139;32A;Y;8372,13;144
1686-C;2025-03-24;1141;AER;SVO;21:20;00:45;16;0,5;8;32B;C;1869,37;9
1686-Y;2025-03-24;1141;AER;SVO;21:20;00:45;167;0,5389;90;32B;Y;5084,49;91
1687-C;2025-03-24;1191;KZN;SVO;13:20;15:05;28;0,1786;5;333;C;712,07;5
1687-Y;2025-03-24;1191;KZN;SVO;13:20;15:05;268;0,9776;262;333;Y;8744,35;262
1688-Y;2025-03-24;1246;SVO;REN;08:35;13:00;150;0,98;147;32A;Y;5169,95;148
1689-C;2025-03-24;1276;SVO;KZN;08:10;10:00;16;0,375;6;32B;C;1257,77;9
1689-Y;2025-03-24;1276;SVO;KZN;08:10;10:00;167;0,9222;154;32B;Y;9724,25;193
1690-C;2025-03-24;1277;KZN;SVO;10:50;12:35;16;0,3125;5;32B;C;1383,23;7
1690-Y;2025-03-24;1277;KZN;SVO;10:50;12:35;167;0,9701;162;32B;Y;6367,05;166
1691-C;2025-03-24;1478;SVO;ABA;23:55;08:45;20;0,1;2;73H;C;780,09;2
1691-Y;2025-03-24;1478;SVO;ABA;23:55;08:45;138;0,8986;124;73H;Y;10793,35;124
1692-Y;2025-03-24;1479;ABA;SVO;09:55;11:00;138;1,1377;157;73H;Y;23361,2;159
1693-C;2025-03-24;1524;SVO;RGK;00:05;08:35;20;0,4;8;73H;C;3160,26;8
1693-Y;2025-03-24;1524;SVO;RGK;00:05;08:35;138;1,0;138;73H;Y;11798,24;138
1694-C;2025-03-24;1525;RGK;SVO;11:45;12:35;20;0,75;15;73H;C;7616,18;15
1694-Y;2025-03-24;1525;RGK;SVO;11:45;12:35;138;0,9203;127;73H;Y;16176,12;127
1695-C;2025-03-24;1713;KHV;SVO;14:35;15:55;30;0,6333;19;77W;C;12048,85;19
1695-W;2025-03-24;1713;KHV;SVO;14:35;15:55;48;1,0;48;77W;W;12604,64;48
1695-Y;2025-03-24;1713;KHV;SVO;14:35;15:55;324;0,9969;323;77W;Y;33720,05;324
1696-C;2025-03-24;2142;SVO;AYT;11:25;16:30;20;0,7;14;73H;C;5437,01;14
1696-Y;2025-03-24;2142;SVO;AYT;11:25;16:30;138;0,4493;62;73H;Y;10989,49;65
1697-C;2025-03-24;2143;AYT;SVO;17:30;22:30;20;0,45;9;73H;C;4555,86;9
1697-Y;2025-03-24;2143;AYT;SVO;17:30;22:30;138;0,3768;52;73H;Y;7066,91;55
1698-C;2025-03-24;6568;AER;LED;18:45;22:55;8;0,125;1;319;C;29,73;1
1698-Y;2025-03-24;6568;AER;LED;18:45;22:55;120;0,975;117;319;Y;5760,94;117
1699-C;2025-03-24;6574;KJA;LED;20:45;21:50;8;0,125;1;319;C;263,51;1
1699-Y;2025-03-24;6574;KJA;LED;20:45;21:50;120;1,0;120;319;Y;16170,54;120
1700-C;2025-03-24;6792;SVX;KJA;13:50;18:50;8;0,125;1;319;C;154,15;1
1700-Y;2025-03-24;6792;SVX;KJA;13:50;18:50;120;0,9833;118;319;Y;6926,7;118
1701-C;2025-02-16;209;PVG;SVO;11:45;16:45;30;0,5333;16;77W;C;14771,93;17
1701-W;2025-02-16;209;PVG;SVO;11:45;16:45;48;0,3333;16;77W;W;5824,09;16
1701-Y;2025-02-16;209;PVG;SVO;11:45;16:45;324;1,0648;345;77W;Y;70766,08;352
1702-C;2025-02-16;224;SVO;SYX;12:30;03:20;28;0,5357;15;333;C;9043,47;15
1702-Y;2025-02-16;224;SVO;SYX;12:30;03:20;268;0,4851;130;333;Y;36877,1;130
1703-C;2025-02-16;225;SYX;SVO;04:50;10:35;28;0,2143;6;359;C;4624,26;6
1703-W;2025-02-16;225;SYX;SVO;04:50;10:35;24;0,0833;2;359;W;671,35;2
1703-Y;2025-02-16;225;SYX;SVO;04:50;10:35;264;0,4848;128;359;Y;24851,39;128
1704-C;2025-02-16;233;DEL;SVO;05:50;10:15;28;0,6786;19;333;C;11377,04;19
1704-Y;2025-02-16;233;DEL;SVO;05:50;10:15;268;0,9627;258;333;Y;58634,41;263
1705-C;2025-02-16;275;HKT;SVO;12:10;18:25;30;0,5333;16;77W;C;10413,91;16
1705-W;2025-02-16;275;HKT;SVO;12:10;18:25;48;0,2292;11;77W;W;7173,24;11
1705-Y;2025-02-16;275;HKT;SVO;12:10;18:25;324;0,7994;259;77W;Y;79895,77;268
1706-C;2025-02-16;321;MLE;SVO;11:00;18:00;30;0,8;24;77W;C;49071,41;24
1706-W;2025-02-16;321;MLE;SVO;11:00;18:00;48;0,5833;28;77W;W;14238,6;28
1706-Y;2025-02-16;321;MLE;SVO;11:00;18:00;324;0,4877;158;77W;Y;39734,54;157
1707-C;2025-02-16;427;SSH;SVO;15:45;22:35;30;0,4;12;77W;C;4180,39;12
1707-Y;2025-02-16;427;SSH;SVO;15:45;22:35;324;0,0648;21;77W;Y;3145,25;21
1708-C;2025-02-16;521;DXB;SVO;16:35;21:25;30;0,8;24;77W;C;15274,26;24
1708-W;2025-02-16;521;DXB;SVO;16:35;21:25;48;0,4583;22;77W;W;4391,65;22
1708-Y;2025-02-16;521;DXB;SVO;16:35;21:25;324;0,4444;144;77W;Y;22486,31;147
1709-C;2025-02-16;526;SVO;DXB;11:30;18:00;30;0,9667;29;77W;C;51670,73;29
1709-W;2025-02-16;526;SVO;DXB;11:30;18:00;48;1,0;48;77W;W;24057,58;48
1709-Y;2025-02-16;526;SVO;DXB;11:30;18:00;324;0,7685;249;77W;Y;64149,13;253
1710-C;2025-02-16;1009;KGD;SVO;06:10;09:50;16;0,375;6;32B;C;1129,3;6
1710-Y;2025-02-16;1009;KGD;SVO;06:10;09:50;167;1,0539;176;32B;Y;7857,51;177
1711-C;2025-02-16;1018;SVO;KGD;11:20;13:00;16;0,9375;15;32B;C;2821,28;15
1711-W;2025-02-16;1018;SVO;KGD;11:20;13:00;29;1,0;29;32B;W;2389,96;29
1711-Y;2025-02-16;1018;SVO;KGD;11:20;13:00;138;0,9493;131;32B;Y;4765,16;131
1712-C;2025-02-16;1054;SVO;MCX;10:35;13:40;8;1,0;8;32A;C;2126,21;8
1712-Y;2025-02-16;1054;SVO;MCX;10:35;13:40;150;0,94;141;32A;Y;7097,2;142
1713-C;2025-02-16;1055;MCX;SVO;14:40;17:45;8;0,875;7;32A;C;1616,14;7
1713-Y;2025-02-16;1055;MCX;SVO;14:40;17:45;150;0,9267;139;32A;Y;6884,39;139
1714-C;2025-02-16;1129;AER;SVO;06:05;09:40;16;0,5625;9;32B;C;3543,43;9
1714-Y;2025-02-16;1129;AER;SVO;06:05;09:40;167;1,024;171;32B;Y;12325,3;172
1715-C;2025-02-16;1141;AER;SVO;21:20;00:45;28;0,8571;24;321;C;9296,29;26
1715-Y;2025-02-16;1141;AER;SVO;21:20;00:45;142;0,5634;80;321;Y;10217,17;80
1716-C;2025-02-16;1190;SVO;KZN;10:40;12:20;8;0,25;2;32A;C;431,2;2
1716-Y;2025-02-16;1190;SVO;KZN;10:40;12:20;150;1,0333;155;32A;Y;4316,36;156
1717-C;2025-02-16;1191;KZN;SVO;13:20;15:05;8;0,625;5;32A;C;643,42;5
1717-Y;2025-02-16;1191;KZN;SVO;13:20;15:05;150;0,8067;121;32A;Y;4078,48;123
1718-Y;2025-02-16;1246;SVO;REN;08:35;13:00;167;1,1018;184;32B;Y;8148,9;176
1719-C;2025-02-16;1276;SVO;KZN;08:10;10:00;16;0,3125;5;32B;C;877,29;5
1719-Y;2025-02-16;1276;SVO;KZN;08:10;10:00;167;0,9162;153;32B;Y;3647,56;157
1720-C;2025-02-16;1277;KZN;SVO;10:50;12:35;16;0,375;6;32B;C;1629,76;6
1720-Y;2025-02-16;1277;KZN;SVO;10:50;12:35;167;0,8503;142;32B;Y;4256,14;143
1721-C;2025-02-16;1478;SVO;ABA;23:55;08:45;20;0,15;3;73H;C;1050,18;3
1721-Y;2025-02-16;1478;SVO;ABA;23:55;08:45;138;1,0435;144;73H;Y;13772,99;144
1722-C;2025-02-16;1479;ABA;SVO;09:55;11:00;20;0,05;1;73H;C;414,49;1
1722-Y;2025-02-16;1479;ABA;SVO;09:55;11:00;138;1,0362;143;73H;Y;13935,48;143
1723-C;2025-02-16;1524;SVO;RGK;00:05;08:35;20;0,6;12;73H;C;5785,49;12
1723-Y;2025-02-16;1524;SVO;RGK;00:05;08:35;138;1,058;146;73H;Y;29698,47;150
1724-C;2025-02-16;1525;RGK;SVO;11:45;12:35;20;1,0;20;73H;C;16904,33;21
1724-Y;2025-02-16;1525;RGK;SVO;11:45;12:35;138;0,9493;131;73H;Y;22136,76;135
1725-C;2025-02-16;1713;KHV;SVO;14:35;15:55;36;0,4167;15;333;C;8594,93;16
1725-Y;2025-02-16;1713;KHV;SVO;14:35;15:55;265;0,9434;250;333;Y;24652,86;280
1726-C;2025-02-16;2142;SVO;AYT;11:25;16:30;16;0,875;14;32B;C;7964,31;14
1726-Y;2025-02-16;2142;SVO;AYT;11:25;16:30;167;0,497;83;32B;Y;16106,54;86
1727-C;2025-02-16;2143;AYT;SVO;17:30;22:30;16;0,75;12;32B;C;6051,63;12
1727-Y;2025-02-16;2143;AYT;SVO;17:30;22:30;167;0,4431;74;32B;Y;11471,48;74
1728-C;2025-02-16;6568;AER;LED;18:45;22:55;8;0,625;5;319;C;1862,16;5
1728-Y;2025-02-16;6568;AER;LED;18:45;22:55;120;0,9;108;319;Y;10366,39;113
1729-C;2025-02-16;6574;KJA;LED;19:55;21:05;8;0,5;4;319;C;1680,72;4
1729-Y;2025-02-16;6574;KJA;LED;19:55;21:05;120;0,9833;118;319;Y;12532,05;118
1730-W;2025-02-16;6792;SVX;KJA;18:15;23:20;5;0,8;4;SU9;W;1042,64;4
1730-Y;2025-02-16;6792;SVX;KJA;18:15;23:20;95;1,0211;97;SU9;Y;7850,37;97
1731-C;2025-04-09;209;PVG;SVO;11:40;16:30;30;0,8667;26;77W;C;16845,48;27
1731-W;2025-04-09;209;PVG;SVO;11:40;16:30;48;0,4583;22;77W;W;7772,84;22
1731-Y;2025-04-09;209;PVG;SVO;11:40;16:30;324;1,0309;334;77W;Y;61661,16;334
1732-C;2025-04-09;224;SVO;SYX;12:45;03:20;28;0,6429;18;333;C;12986,4;18
1732-Y;2025-04-09;224;SVO;SYX;12:45;03:20;268;0,3507;94;333;Y;23756,05;94
1733-C;2025-04-09;233;DEL;SVO;05:00;09:10;28;0,4643;13;359;C;8665,73;13
1733-W;2025-04-09;233;DEL;SVO;05:00;09:10;24;0,3333;8;359;W;2362,95;8
1733-Y;2025-04-09;233;DEL;SVO;05:00;09:10;264;0,9318;246;359;Y;45038,54;247
1734-C;2025-04-09;321;MLE;SVO;11:05;17:50;30;0,8333;25;77W;C;20947,04;25
1734-W;2025-04-09;321;MLE;SVO;11:05;17:50;48;0,9167;44;77W;W;28836,64;44
1734-Y;2025-04-09;321;MLE;SVO;11:05;17:50;324;0,7901;256;77W;Y;71524,78;256
1735-C;2025-04-09;427;SSH;SVO;15:30;22:15;30;0,5667;17;77W;C;4286,04;17
1735-W;2025-04-09;427;SSH;SVO;15:30;22:15;48;0,0625;3;77W;W;918,54;3
1735-Y;2025-04-09;427;SSH;SVO;15:30;22:15;324;0,2099;68;77W;Y;11606,81;68
1736-C;2025-04-09;521;DXB;SVO;16:05;20:50;30;0,9;27;77W;C;23594,03;27
1736-W;2025-04-09;521;DXB;SVO;16:05;20:50;48;0,9583;46;77W;W;17303,49;46
1736-Y;2025-04-09;521;DXB;SVO;16:05;20:50;324;0,6605;214;77W;Y;39261,56;214
1737-C;2025-04-09;526;SVO;DXB;11:25;18:20;20;0,65;13;73H;C;13382,3;13
1737-Y;2025-04-09;526;SVO;DXB;11:25;18:20;138;0,6159;85;73H;Y;16581,01;92
1738-C;2025-04-09;1009;KGD;SVO;03:00;06:30;16;0,3125;5;32B;C;534,42;5
1738-Y;2025-04-09;1009;KGD;SVO;03:00;06:30;167;1,0659;178;32B;Y;8102,33;181
1739-C;2025-04-09;1018;SVO;KGD;11:50;13:35;16;0,9375;15;32B;C;4030,56;15
1739-W;2025-04-09;1018;SVO;KGD;11:50;13:35;29;0,8621;25;32B;W;2304,73;25
1739-Y;2025-04-09;1018;SVO;KGD;11:50;13:35;138;1,0145;140;32B;Y;5438,57;141
1740-C;2025-04-09;1054;SVO;MCX;02:20;05:20;8;0,25;2;32A;C;54,05;2
1740-Y;2025-04-09;1054;SVO;MCX;02:20;05:20;150;0,9133;137;32A;Y;5337,6;138
1741-C;2025-04-09;1055;MCX;SVO;06:20;09:20;8;0,625;5;32A;C;1304,67;5
1741-Y;2025-04-09;1055;MCX;SVO;06:20;09:20;150;1,0267;154;32A;Y;11579,2;154
1742-C;2025-04-09;1129;AER;SVO;20:10;23:45;8;0,625;5;32A;C;611,74;5
1742-Y;2025-04-09;1129;AER;SVO;20:10;23:45;150;0,8933;134;32A;Y;6180,47;134
1743-C;2025-04-09;1141;AER;SVO;06:20;09:50;8;0,75;6;32A;C;1632,49;6
1743-Y;2025-04-09;1141;AER;SVO;06:20;09:50;150;1,0133;152;32A;Y;7020,23;152
1744-C;2025-04-09;1190;SVO;KZN;09:10;10:50;8;0,625;5;32A;C;1435,44;5
1744-Y;2025-04-09;1190;SVO;KZN;09:10;10:50;150;1,0;150;32A;Y;6615,59;150
1745-C;2025-04-09;1191;KZN;SVO;11:40;13:25;8;0,5;4;32A;C;1386,85;4
1745-Y;2025-04-09;1191;KZN;SVO;11:40;13:25;150;0,8467;127;32A;Y;4397,43;129
1746-C;2025-04-09;1246;SVO;REN;17:50;22:00;8;0,25;2;32A;C;1003,99;2
1746-Y;2025-04-09;1246;SVO;REN;17:50;22:00;150;1,04;156;32A;Y;6945,24;156
1747-C;2025-04-09;1276;SVO;KZN;12:55;14:40;28;0,4643;13;321;C;3835,36;13
1747-Y;2025-04-09;1276;SVO;KZN;12:55;14:40;142;1,0986;156;321;Y;8198,0;156
1748-C;2025-04-09;1277;KZN;SVO;15:30;17:10;28;0,2857;8;321;C;3624,2;8
1748-Y;2025-04-09;1277;KZN;SVO;15:30;17:10;142;1,0282;146;321;Y;6279,15;149
1749-C;2025-04-09;1478;SVO;ABA;00:15;08:50;8;0,375;3;32A;C;1238,45;3
1749-Y;2025-04-09;1478;SVO;ABA;00:15;08:50;150;0,92;138;32A;Y;11526,43;140
1750-C;2025-04-09;1479;ABA;SVO;10:00;11:05;8;0,5;4;32A;C;1806,57;4
1750-Y;2025-04-09;1479;ABA;SVO;10:00;11:05;150;0,7467;112;32A;Y;9125,44;112
1751-C;2025-04-09;1524;SVO;RGK;00:10;08:35;20;0,55;11;73H;C;3497,1;11
1751-Y;2025-04-09;1524;SVO;RGK;00:10;08:35;138;0,8768;121;73H;Y;11255,93;130
1752-C;2025-04-09;1525;RGK;SVO;11:20;12:05;20;0,6;12;73H;C;1972,08;12
1752-Y;2025-04-09;1525;RGK;SVO;11:20;12:05;138;0,9565;132;73H;Y;10641,38;134
1753-C;2025-04-09;2142;SVO;AYT;07:45;12:50;16;0,4375;7;32B;C;3557,26;7
1753-Y;2025-04-09;2142;SVO;AYT;07:45;12:50;167;0,4731;79;32B;Y;10061,83;80
1754-C;2025-04-09;2143;AYT;SVO;14:20;19:20;16;0,625;10;32B;C;4944,52;10
1754-Y;2025-04-09;2143;AYT;SVO;14:20;19:20;167;0,2874;48;32B;Y;6351,96;48
1755-W;2025-04-09;6321;LED;KGD;14:50;15:45;5;0,8;4;SU9;W;632,16;4
1755-Y;2025-04-09;6321;LED;KGD;14:50;15:45;95;0,9263;88;SU9;Y;5794,69;88
1756-C;2025-04-09;6574;KJA;LED;05:55;07:00;8;0,25;2;319;C;809,48;2
1756-Y;2025-04-09;6574;KJA;LED;05:55;07:00;120;0,9333;112;319;Y;9077,91;113
1757-W;2025-04-09;6792;SVX;KJA;22:30;03:35;5;0,2;1;SU9;W;82,91;1
1757-Y;2025-04-09;6792;SVX;KJA;22:30;03:35;95;0,9895;94;SU9;Y;5416,74;94
1758-C;2025-05-09;224;SVO;SYX;10:45;01:15;28;0,4286;12;359;C;3155,19;12
1758-W;2025-05-09;224;SVO;SYX;10:45;01:15;24;0,125;3;359;W;905,39;3
1758-Y;2025-05-09;224;SVO;SYX;10:45;01:15;264;0,1818;48;359;Y;10010,56;48
1759-C;2025-05-09;225;SYX;SVO;12:30;17:50;28;0,6429;18;359;C;16612,62;21
1759-W;2025-05-09;225;SYX;SVO;12:30;17:50;24;0,7083;17;359;W;8612,44;17
1759-Y;2025-05-09;225;SYX;SVO;12:30;17:50;264;0,4962;131;359;Y;45109,21;131
1760-C;2025-05-09;233;DEL;SVO;09:30;13:30;30;0,4;12;77W;C;5756,79;13
1760-W;2025-05-09;233;DEL;SVO;09:30;13:30;48;0,0417;2;77W;W;2505,6;8
1760-Y;2025-05-09;233;DEL;SVO;09:30;13:30;324;1,0864;352;77W;Y;60998,43;356
1761-C;2025-05-09;321;MLE;SVO;11:05;17:50;30;1,0;30;77W;C;138866,97;30
1761-W;2025-05-09;321;MLE;SVO;11:05;17:50;48;0,9167;44;77W;W;43726,89;44
1761-Y;2025-05-09;321;MLE;SVO;11:05;17:50;324;0,8025;260;77W;Y;127079,11;264
1762-C;2025-05-09;427;SSH;SVO;16:30;22:15;30;0,6667;20;77W;C;16305,45;20
1762-W;2025-05-09;427;SSH;SVO;16:30;22:15;48;0,5625;27;77W;W;12684,4;27
1762-Y;2025-05-09;427;SSH;SVO;16:30;22:15;324;0,1636;53;77W;Y;19660,77;54
1763-C;2025-05-09;521;DXB;SVO;16:05;20:50;30;1,0;30;77W;C;56874,06;30
1763-W;2025-05-09;521;DXB;SVO;16:05;20:50;48;0,9167;44;77W;W;32604,07;44
1763-Y;2025-05-09;521;DXB;SVO;16:05;20:50;324;0,7006;227;77W;Y;81975,57;227
1764-C;2025-05-09;526;SVO;DXB;10:50;17:45;30;0,1667;5;77W;C;1759,58;6
1764-W;2025-05-09;526;SVO;DXB;10:50;17:45;48;0,1458;7;77W;W;2349,36;7
1764-Y;2025-05-09;526;SVO;DXB;10:50;17:45;324;0,1049;34;77W;Y;5445,73;40
1765-C;2025-05-09;638;VVO;HKT;10:30;14:50;30;0,1333;4;77W;C;2041,1;4
1765-W;2025-05-09;638;VVO;HKT;10:30;14:50;48;0,25;12;77W;W;3914,27;12
1765-Y;2025-05-09;638;VVO;HKT;10:30;14:50;324;0,2438;79;77W;Y;15635,18;79
1766-C;2025-05-09;1009;KGD;SVO;03:00;06:30;16;0,0625;1;32B;C;182,43;2
1766-W;2025-05-09;1009;KGD;SVO;03:00;06:30;29;0,3793;11;32B;W;971,62;11
1766-Y;2025-05-09;1009;KGD;SVO;03:00;06:30;138;1,1594;160;32B;Y;6138,29;161
1767-C;2025-05-09;1018;SVO;KGD;11:50;13:35;16;0,5625;9;32B;C;1566,89;9
1767-W;2025-05-09;1018;SVO;KGD;11:50;13:35;29;0,3793;11;32B;W;876,69;11
1767-Y;2025-05-09;1018;SVO;KGD;11:50;13:35;138;1,0;138;32B;Y;5446,31;138
1768-C;2025-05-09;1054;SVO;MCX;03:05;06:05;16;0,0625;1;32B;C;242,63;1
1768-Y;2025-05-09;1054;SVO;MCX;03:05;06:05;167;1,0778;180;32B;Y;10545,42;193
1769-Y;2025-05-09;1055;MCX;SVO;07:00;10:00;167;1,1078;185;32B;Y;9360,78;187
1770-C;2025-05-09;1129;AER;SVO;20:10;23:45;8;0,375;3;32A;C;606,43;4
1770-Y;2025-05-09;1129;AER;SVO;20:10;23:45;150;1,0;150;32A;Y;10438,4;151
1771-C;2025-05-09;1141;AER;SVO;06:20;09:50;8;0,25;2;32A;C;27,03;2
1771-Y;2025-05-09;1141;AER;SVO;06:20;09:50;150;1,04;156;32A;Y;9770,48;156
1772-C;2025-05-09;1190;SVO;KZN;09:10;10:50;8;0,25;2;32A;C;582,31;2
1772-Y;2025-05-09;1190;SVO;KZN;09:10;10:50;150;0,8;120;32A;Y;5537,44;133
1773-Y;2025-05-09;1191;KZN;SVO;11:40;13:25;150;0,7;105;32A;Y;3552,92;105
1774-C;2025-05-09;1246;SVO;REN;17:50;22:00;20;0,05;1;320;C;234,09;1
1774-Y;2025-05-09;1246;SVO;REN;17:50;22:00;120;1,0583;127;320;Y;4346,05;128
1775-C;2025-05-09;1276;SVO;KZN;12:55;14:40;8;0,25;2;32A;C;221,6;2
1775-Y;2025-05-09;1276;SVO;KZN;12:55;14:40;150;0,8133;122;32A;Y;4775,16;137
1776-C;2025-05-09;1277;KZN;SVO;15:30;17:10;8;0,25;2;32A;C;582,31;2
1776-Y;2025-05-09;1277;KZN;SVO;15:30;17:10;150;0,84;126;32A;Y;4584,65;129
1777-C;2025-05-09;1478;SVO;ABA;00:15;08:50;8;0,375;3;32A;C;509,21;3
1777-Y;2025-05-09;1478;SVO;ABA;00:15;08:50;150;0,6867;103;32A;Y;9702,26;105
1778-C;2025-05-09;1479;ABA;SVO;10:00;11:05;8;0,375;3;32A;C;599,88;3
1778-Y;2025-05-09;1479;ABA;SVO;10:00;11:05;150;0,5867;88;32A;Y;7532,87;89
1779-C;2025-05-09;1524;SVO;RGK;00:10;08:35;20;0,35;7;73H;C;3899,72;9
1779-Y;2025-05-09;1524;SVO;RGK;00:10;08:35;138;0,8768;121;73H;Y;11403,54;124
1780-C;2025-05-09;1525;RGK;SVO;10:00;10:40;20;0,4;8;73H;C;3521,69;8
1780-Y;2025-05-09;1525;RGK;SVO;10:00;10:40;138;0,9493;131;73H;Y;19964,23;131
1781-C;2025-05-09;1713;KHV;SVO;15:45;16:45;28;0,2857;8;359;C;4011,15;8
1781-W;2025-05-09;1713;KHV;SVO;15:45;16:45;24;0,25;6;359;W;1333,78;6
1781-Y;2025-05-09;1713;KHV;SVO;15:45;16:45;264;0,9508;251;359;Y;23031,67;254
1782-C;2025-05-09;2142;SVO;AYT;07:45;12:50;16;0,4375;7;32B;C;2715,57;7
1782-Y;2025-05-09;2142;SVO;AYT;07:45;12:50;167;0,4012;67;32B;Y;8435,6;70
1783-C;2025-05-09;2143;AYT;SVO;14:20;19:25;16;0,8125;13;32B;C;18828,96;13
1783-Y;2025-05-09;2143;AYT;SVO;14:20;19:25;167;0,2695;45;32B;Y;12971,64;58
1784-W;2025-05-09;6321;LED;KGD;14:50;15:45;5;0,6;3;SU9;W;298,31;3
1784-Y;2025-05-09;6321;LED;KGD;14:50;15:45;95;0,9368;89;SU9;Y;4158,52;89
1785-C;2025-05-09;6574;KJA;LED;05:55;07:00;8;0,125;1;32A;C;427,24;1
1785-Y;2025-05-09;6574;KJA;LED;05:55;07:00;150;0,8;120;32A;Y;12734,42;125
1786-C;2025-02-26;209;PVG;SVO;11:45;16:50;30;0,8333;25;77W;C;17777,08;27
1786-W;2025-02-26;209;PVG;SVO;11:45;16:50;48;0,5417;26;77W;W;8020,69;26
1786-Y;2025-02-26;209;PVG;SVO;11:45;16:50;324;1,0278;333;77W;Y;73050,76;335
1787-C;2025-02-26;224;SVO;SYX;12:30;03:20;28;0,6071;17;359;C;11712,09;17
1787-W;2025-02-26;224;SVO;SYX;12:30;03:20;24;0,125;3;359;W;1137,12;3
1787-Y;2025-02-26;224;SVO;SYX;12:30;03:20;264;0,5189;137;359;Y;32444,13;137
1788-C;2025-02-26;233;DEL;SVO;05:50;10:10;28;0,5357;15;359;C;6769,18;15
1788-W;2025-02-26;233;DEL;SVO;05:50;10:10;24;0,2917;7;359;W;2505,28;7
1788-Y;2025-02-26;233;DEL;SVO;05:50;10:10;264;1,0379;274;359;Y;57072,37;276
1789-C;2025-02-26;275;HKT;SVO;12:10;18:25;28;0,8929;25;77W;C;25513,48;25
1789-W;2025-02-26;275;HKT;SVO;12:10;18:25;24;0,7083;17;77W;W;14439,44;17
1789-Y;2025-02-26;275;HKT;SVO;12:10;18:25;375;0,768;288;77W;Y;111588,97;293
1790-C;2025-02-26;321;MLE;SVO;11:00;18:00;30;0,9667;29;77W;C;51266,64;29
1790-W;2025-02-26;321;MLE;SVO;11:00;18:00;48;0,8333;40;77W;W;21213,31;40
1790-Y;2025-02-26;321;MLE;SVO;11:00;18:00;324;0,6296;204;77W;Y;55388,46;204
1791-C;2025-02-26;427;SSH;SVO;15:45;22:35;30;0,2333;7;77W;C;2693,12;8
1791-W;2025-02-26;427;SSH;SVO;15:45;22:35;48;0,2083;10;77W;W;1763,54;10
1791-Y;2025-02-26;427;SSH;SVO;15:45;22:35;324;0,1049;34;77W;Y;7813,48;34
1792-C;2025-02-26;521;DXB;SVO;16:35;21:25;30;0,9;27;77W;C;23307,26;27
1792-W;2025-02-26;521;DXB;SVO;16:35;21:25;48;0,9792;47;77W;W;17711,48;47
1792-Y;2025-02-26;521;DXB;SVO;16:35;21:25;324;0,5309;172;77W;Y;32201,73;176
